country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
GERMANY	44358	05/23/2021	07/02/2021	0.115	3.1e-06	0.261	0.044	0.00014522566574877747	0.015713514132719385	11295	553	421	2036	25.86	0.06841998212438283	0.21135375385565836	0.7202262640199588
GERMANY	44365	05/30/2021	07/09/2021	0.126	3.8e-06	0.304	0.044	0.00017331999741591184	0.01583408815351644	8411	273	574	2855	17.35	0.07847734433203146	0.3767629707813589	0.5447596848866096
GERMANY	44372	06/06/2021	07/16/2021	0.133	5.4e-06	0.346	0.044	0.00020727267158683393	0.015899938891494096	5795	142	824	4065	12.63	0.0733641781947229	0.5861909472789983	0.34044487452627875
GERMANY	44379	06/13/2021	07/23/2021	0.131	8.5e-06	0.387	0.044	0.0002533920524943003	0.015932899767314622	3446	85	1144	5287	11.03	0.06267241713322011	0.7571852326533236	0.1801423502134563
JAPAN	44337	05/02/2021	06/11/2021	0.052	5.8e-06	0.024	0.006	1.651279710848668e-05	0.0016392710504806482	14673	6096	150	491	33.9	0.057182369193731764	0.017272390149215087	0.9255452406570531
JAPAN	44344	05/09/2021	06/18/2021	0.059	4.1e-06	0.035	0.006	2.149494907225911e-05	0.0018442719001276493	14370	5872	184	788	28.87	0.04516905411151251	0.026993106083315767	0.9278378398051718
JAPAN	44351	05/16/2021	06/25/2021	0.069	3.7e-06	0.049	0.006	2.7424633727647176e-05	0.0020112907054578	12332	5749	190	1411	22.11	0.031124172419947804	0.04636173809473096	0.9225140894853212
JAPAN	44358	05/23/2021	07/02/2021	0.078	3.5e-06	0.069	0.006	3.5242828776223504e-05	0.0021383252679447523	9884	5970	194	2593	17.08	0.01745601209523928	0.07845654716775574	0.904087440737005
JAPAN	44365	05/30/2021	07/09/2021	0.082	2.7e-06	0.095	0.006	4.673781965667144e-05	0.0022348378650538974	7682	6039	240	5011	14.24	0.00985617824951357	0.12567863185445982	0.8644651898960266
JAPAN	44372	06/06/2021	07/16/2021	0.085	2e-06	0.125	0.006	6.587518344291182e-05	0.0023125083653190207	6485	6012	353	9740	14.01	0.005782039567494457	0.20960381451262228	0.7846141459198833
JAPAN	44379	06/13/2021	07/23/2021	0.085	1.4e-06	0.16	0.006	0.00010143899286800069	0.0023808999638498503	6030	5491	562	15576	16.69	0.003973613948243804	0.31953664182444796	0.6764897442273082
JAPAN	44386	06/20/2021	07/30/2021	0.087	9e-07	0.197	0.007	0.00016738813451825507	0.002446082386090123	5799	4412	915	22245	23.73	0.002360174496593981	0.47679666088691736	0.5208431646164886
JAPAN	44393	06/27/2021	08/06/2021	0.087	7e-07	0.238	0.007	0.000305260520466418	0.002514418407568531	5801	3307	1683	31220	38.27	0.001339594329918481	0.6378453402892629	0.36081506538081864
JAPAN	44400	07/04/2021	08/13/2021	0.09	6e-07	0.28	0.007	0.0005573128801408227	0.002584953620773937	6013	2112	3098	39156	56.76	0.0007913128466872088	0.7532913019946507	0.24591738515866213
JAPAN	44407	07/11/2021	08/20/2021	0.086	7e-07	0.32	0.008	0.0009590264937583186	0.00265397892767971	6035	1394	6092	43466	82.52	0.0004511261496562835	0.845817498918395	0.15373137493194874
JAPAN	44414	07/18/2021	08/27/2021	0.08	9e-07	0.36	0.008	0.001559042235137841	0.002719245688785185	5952	851	11443	39813	110.72	0.00022327226442463155	0.9117524902146287	0.0880242375209467
JAPAN	44421	07/25/2021	09/03/2021	0.077	1.6e-06	0.399	0.009	0.002346562897566254	0.0027776936896157004	5206	419	17247	29971	132.3	0.00022887200250239909	0.9528661537968892	0.046904974200608386
TX	44320	04/15/2021	05/25/2021	0.057	2.61e-05	0.282	0.099	4.674829010830204e-05	0.007665672729900788	3002	1138	31	116	88.03	0.18980642607427145	0.018402248291447168	0.7917913256342813
TX	44327	04/22/2021	06/01/2021	0.065	1.66e-05	0.304	0.1	6.165473675798069e-05	0.008132789914555266	3009	955	48	206	77.34	0.19798058122904927	0.023209936108722934	0.7788094826622278
TX	44334	04/29/2021	06/08/2021	0.08	1.26e-05	0.324	0.1	8.152097425127553e-05	0.00852198904136663	2876	877	61	443	66.57	0.2155284811248972	0.03920220382958652	0.7452693150455163
TX	44341	05/06/2021	06/15/2021	0.094	1.38e-05	0.341	0.101	0.00011955415499181208	0.008845191627495206	2495	789	59	794	61.34	0.2463375804845328	0.0768117511327797	0.6768506683826875
TX	44348	05/13/2021	06/22/2021	0.106	1.21e-05	0.357	0.101	0.00017638172243606768	0.009108747761705907	1993	657	62	1385	54.55	0.2586681042560497	0.1457056733777931	0.5956262223661573
TX	44355	05/20/2021	06/29/2021	0.111	1e-05	0.371	0.101	0.00025849276254967627	0.009315100581733547	1442	451	84	2234	49.79	0.2385946312239241	0.27447862744266777	0.4869267413334081
TX	44362	05/27/2021	07/06/2021	0.115	7.9e-06	0.384	0.102	0.00037933134268140176	0.00947393396580299	1059	270	132	3295	47.95	0.2071898417667356	0.4171893612147168	0.37562079701854756
TX	44369	06/03/2021	07/13/2021	0.119	7.3e-06	0.396	0.102	0.0005492667612921786	0.009591990821011623	930	154	257	4939	52.81	0.16295366069713896	0.5882776843017655	0.24876865500109552
TX	44376	06/10/2021	07/20/2021	0.122	9.4e-06	0.407	0.103	0.000807029911843212	0.009681677448799521	856	89	535	7401	58.25	0.11826907145985563	0.748520731731217	0.13321019680892734
FRANCE	44327	04/22/2021	06/01/2021	0.056	1.6e-05	0.123	0.085	0.00011664620442612817	0.03358472614003961	4399	2305	46	222		0.10556828889109993	0.015314320540711537	0.8791173905681885
FRANCE	44334	04/29/2021	06/08/2021	0.07	1.2e-05	0.14	0.085	0.00015101065147887614	0.03490889730292644	4011	1446	63	380		0.10251837421919696	0.017201988895422668	0.8802796368853804
