country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
FINLAND	44565	12/21/2021	01/20/2022	0.121	2.35e-05	0.737	0.516	0.025	0.245	0.025	0.013	844	2111	883	59	1203.5	0.12309491400822468	0.8769050859917829
FINLAND	44572	12/28/2021	01/27/2022	0.111	4.32e-05	0.738	0.433	0.026	0.299	0.026	0.021	1242	1997	519	30	1332.56	0.06160253464526149	0.9383974653547392
CA	44542	11/28/2021	12/28/2021	0.2	5.3e-06	0.646	0.476	0.031	0.168	0.031	0.001	221	31428	19570	6858	212.29	0.5835627388031692	0.41630672746688124
CA	44549	12/05/2021	01/04/2022	0.147	9e-07	0.653	0.462	0.032	0.19	0.032	0.002	2959	29344	20173	2468	391.01	0.36702987254652336	0.632907205614109
CA	44556	12/12/2021	01/11/2022	0.133	1.8e-06	0.659	0.447	0.033	0.211	0.033	0.005	11951	25102	19369	763	947.09	0.19813386687653958	0.8018341359266951
CA	44563	12/19/2021	01/18/2022	0.129	4.2e-06	0.666	0.432	0.034	0.232	0.034	0.013	21940	20750	14355	285	1627.78	0.08888828094014466	0.9110812192514821
NORWAY	44534	11/20/2021	12/20/2021	0.159	4.32e-05	0.707	0.569	0.032	0.146	0.032	0.005	30	1790	2840	1497	672.82	0.743479270234859	0.25652072976515156
NORWAY	44541	11/27/2021	12/27/2021	0.104	5.9e-06	0.711	0.528	0.035	0.188	0.035	0.008	286	2361	2611	961	713.72	0.6208616234980957	0.3791383765019195
NORWAY	44548	12/04/2021	01/03/2022	0.095	4.5e-06	0.715	0.478	0.037	0.227	0.037	0.013	744	3040	2380	562	727.97	0.47801137862415255	0.5219886213758611
NORWAY	44555	12/11/2021	01/10/2022	0.102	5.4e-06	0.717	0.45	0.038	0.267	0.038	0.02	1160	3591	2054	297	814.71	0.312782149738921	0.6872178502610998
NORWAY	44562	12/18/2021	01/17/2022	0.114	1.09e-05	0.72	0.433	0.038	0.312	0.038	0.032	1629	3638	1629	122	1028.83	0.17139922460134147	0.8286007753986607
