country	time	freq_delta	freq_omi	x_delta	x_omi	var_d	var_o	R_eff_vac	R_eff_boost	R_eff_delta	R_eff_omi	R_vac	R_boost	R_delta	R_omi	Cov	Cdv	Cob	Cdb	Cod	Cdd	Coo	Cdo	model_x_delta	model_x_omi
SWITZERLAND	44533	0.9683882515788487	0.03153341603561434	0.9685064418641641	0.031493558135835854	4.873729835659169e-06	4.850035124245416e-06	0.3476246289171743	0.06614354910253017	0.03769324344113563	0.00012409848196893775	0.6583	0.08839999999999999	0.03925891422052777	0.00014437551068435906	0.01571791533929724	0.23420314127587938	0.0785176497632614	0.0827985598634195	0.002202765032713532	0.029533642337975903	0.00010080978511921865	1.0827600652681642e-05	0.9663597843194707	0.03364021568052929
SWITZERLAND	44534	0.9629259519063575	0.037013938311851007	0.9630102040816326	0.036989795918367346	5.679456459866854e-06	5.679456459866849e-06	0.34542293636220045	0.06921012173566563	0.03882245273208275	0.00015724720417874198	0.6583	0.08929999999999999	0.03925891422052777	0.00014437551068435906	0.015554767628194664	0.23265620986448277	0.08140587869997006	0.08588526199874211	0.0022831319098433715	0.030432784087346034	0.00012770938316215459	1.3691494234226991e-05	0.9612579947971	0.03874200520290008
SWITZERLAND	44535	0.9568667630562372	0.04309018191632455	0.9569806492883416	0.043019350711658404	6.605135302098221e-06	6.581771549219247e-06	0.34143095112443916	0.07072905694899033	0.03873778406739641	0.00015719724004910386	0.6589	0.0955	0.03925891422052777	0.00014437551068435906	0.015305850818207562	0.22989829419752578	0.08214967042084322	0.08672736149390975	0.002252673089056551	0.030340933126353598	0.00012749482662709286	1.3513166035390458e-05	0.9554654251648642	0.04453457483513582
SWITZERLAND	44536	0.9502248209755398	0.04974668802288898	0.9503853564547207	0.049614643545279384	7.5919797526498595e-06	7.568768003491942e-06	0.3376436609815281	0.07592208780840613	0.03865172596730831	0.00015714110137412005	0.6594	0.10339999999999999	0.0418823261927268	0.000262514528035593	0.015132985641299211	0.2273450828836397	0.08782353516958351	0.0927373270197953	0.0022225901319495264	0.030248450567622875	0.0001272778782860217	1.333692311253195e-05	0.9489003240695559	0.05109967593044405
SWITZERLAND	44537	0.9430238227078273	0.05695894700113928	0.9431248990143803	0.056875100985619646	8.687452672145106e-06	8.664326450437099e-06	0.3339096484800698	0.08235443206554204	0.04142427828832088	0.0002858716347623595	0.66	0.1105	0.04296987126925728	0.00031945028096346114	0.014951293897500906	0.2248165304827804	0.09507238233947174	0.10040248519614892	0.002451832235673411	0.0324880340585599	0.00023210585097188172	2.482407149470999e-05	0.9414120753148284	0.05858792468517158
SWITZERLAND	44538	0.9352716021668603	0.06471898374215707	0.9353891336270191	0.06461086637298091	9.880775343753257e-06	9.857605890835791e-06	0.32982902834234107	0.08831786685657333	0.04252052675658588	0.00034784829325426787	0.6606000000000001	0.11900000000000001	0.04431426677881128	0.0004006522089883276	0.014774080336005621	0.2220746102273717	0.10156808257731627	0.10728414791370537	0.0025264803063317354	0.03335755754048449	0.00028234095978924223	3.0120716693842243e-05	0.9329396139196121	0.06706038608038789
SWITZERLAND	44539	0.9269307583110589	0.07306465229674083	0.927023001820288	0.07297699817971207	1.1194995187223289e-05	1.1194995187223292e-05	0.32578940180872124	0.09532352631927822	0.043895078508433105	0.00043625613765209436	0.6614	0.1272	0.045479775569378315	0.0004813031603197803	0.014599128394512642	0.2193607164432177	0.1093585557669987	0.11552803793328413	0.0026254924757659146	0.03445323918831308	0.0003540671336205879	3.774352006747899e-05	0.9233728623503337	0.07662713764966635
SWITZERLAND	44540	0.9178973110803086	0.08210071978769996	0.9179885251434357	0.08201147485656429	1.2723982970800695e-05	1.2700189860356598e-05	0.3230256942127329	0.10221238055463386	0.04507280817363919	0.0005240324046781955	0.6618	0.1318	0.046557570620895106	0.000566259582339596	0.014479252041833979	0.21750382484966543	0.11686040505600956	0.12347574424198617	0.002705540925295609	0.03538724399818578	0.00042518159378151555	4.5212558253755845e-05	0.9125885363013251	0.08741146369867486
SWITZERLAND	44541	0.9079944273425069	0.09200484024268045	0.9080062251426595	0.09199377485734048	1.4444219305695563e-05	1.444421930569556e-05	0.32069706430754585	0.10670645724840673	0.04615309923269849	0.0006164681435722224	0.6618999999999999	0.1335	0.046557570620895106	0.000566259582339596	0.014325705791293828	0.21588671362519848	0.12100289096879606	0.1279090935657976	0.00277586997019138	0.036240877945861553	0.0005000020534408748	5.300907389303521e-05	0.9004740696013366	0.0995259303986634
SWITZERLAND	44542	0.8969809070188756	0.1030188607237414	0.8970980950685419	0.10290190493145808	1.6454235828292247e-05	1.6429077196525046e-05	0.3163315697642924	0.10925681284345039	0.04605656132238352	0.0006162474234622968	0.6624	0.1409	0.046557570620895106	0.000566259582339596	0.014090391949134131	0.21290764694659953	0.12244069468279527	0.1295119601343602	0.0027388753996425777	0.03613388500050467	0.0004991507316781099	5.231779339211074e-05	0.8870200687770811	0.11297993122291891
