time	x_wt	x_voc	x_alpha	x_delta	x_ba1	x_ba2	x_ba45	R_wt	R_vac	R_boost	R_alpha	R_delta	R_omi	R_ba1	R_ba2	R_ba45	C_av	C_dv	C_ov	C_wtv	C_ov0	C_dv0	C_ab	C_db	C_ob	C_a2b	C_a45b	C_wtb	C_aa	C_da	C_oa	C_wta	C_ad	C_dd	C_od	C_wtd	C_ao	C_do	C_wto	C_oo	C_a1a1	C_a2a1	C_a45a1	C_a1a2	C_a2a2	C_a45a2
43902	0.9996466851142825	0.00035331488571749547	0.0	0.0	0.0	0.0	0.0	7.390863124385486e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43903	0.9996382947326642	0.0003617052673358099	0.0	0.0	0.0	0.0	0.0	8.307934921691932e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43904	0.9996290076977159	0.000370992302284119	0.0	0.0	0.0	0.0	0.0	0.00010437419701075523	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43905	0.9996181834343305	0.000381816565669516	0.0	0.0	0.0	0.0	0.0	0.00012138911485262552	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43906	0.9996051038805873	0.00039489611941272303	0.0	0.0	0.0	0.0	0.0	0.00014284876714524902	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43907	0.9995889096786221	0.00041109032137783826	0.0	0.0	0.0	0.0	0.0	0.00016101765407911176	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43908	0.9995684688310271	0.0004315311689728544	0.0	0.0	0.0	0.0	0.0	0.0001814640129453859	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43909	0.9995421972294525	0.00045780277054746204	0.0	0.0	0.0	0.0	0.0	0.0002037992761293934	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43910	0.9995080100855931	0.0004919899144068978	0.0	0.0	0.0	0.0	0.0	0.0002421036217577394	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43911	0.9994636400309095	0.0005363599690904399	0.0	0.0	0.0	0.0	0.0	0.00028448177969683206	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
