Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta	s_model	s_0	L
TX	44355	0.111	1.84e-05	0.3651411440984619	0.009098767061727	0.0001454062380201	4.984302039027974	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10364114670541114	0.0369246843290206	3.0611000599025653
TX	44362	0.115	1.6800000000000002e-05	0.3904507684327418	0.009379889580229	0.0002564266407802	5.16769223933502	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10791241000249434	0.0369246843290206	3.0830698033840966
TX	44369	0.119	1.59e-05	0.4158115691489292	0.0095404016201393	0.000360755441535	5.417988125441641	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1121084006209925	0.0369246843290206	3.1121307131537925
TX	44376	0.123	1.74e-05	0.4386270286476838	0.0096474916123586	0.0005162456891201	4.257774912460772	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11579881673771468	0.0369246843290206	3.0704368042471595
FRANCE	44327	0.056	2.51e-05	0.1015545126834538	0.0312773337290082	9.364572556002871e-05	31.523167512088047	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07916753340161298	0.03924754409738201	-6.31454155806537
FRANCE	44334	0.071	2.13e-05	0.115445847187532	0.0329924520759779	0.000114442932976	24.668505828957908	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08271138917996432	0.03924754409738201	1.2398238543825588
FRANCE	44341	0.094	2.03e-05	0.1293837100705109	0.0345434462131983	0.0001394977417981	19.84641511672748	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0861367302987096	0.03924754409738201	2.9605750122306445
FRANCE	44348	0.114	2.17e-05	0.1486088058212963	0.0357337003436486	0.0001819703664234	16.354898994393523	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09014719394847223	0.03924754409738201	-8.659432852970397
FRANCE	44355	0.125	2.01e-05	0.1711036742796853	0.0366744623332434	0.0002419807760032	12.429325739372905	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09449362900416725	0.03924754409738201	-18.661758866615394
FRANCE	44362	0.118	1.4599999999999999e-05	0.1976366227619195	0.0372988201813068	0.0003253094503804	9.13959835068672	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09924728032827006	0.03924754409738201	-7.394998644829233
